variable,auc,fuerza,pct_nulos,unicos,tasa_baja2_si_nulo
ctrx_quarter,0.14347046432036534,0.35652953567963463,0.0,838,
mcaja_ahorro,0.18216182466668387,0.31783817533331615,0.0,148837,
mpasivos_margen,0.2004277054937685,0.29957229450623146,0.0,119788,
mtarjeta_visa_consumo,0.20745611043952547,0.2925438895604745,0.0,134839,
ctarjeta_visa_transacciones,0.21031251063476797,0.28968748936523203,0.0,191,
mcuentas_saldo,0.2278236122834267,0.27217638771657326,0.0,160108,
mautoservicio,0.2325574874438332,0.2674425125561668,0.0,102253,
ctarjeta_debito_transacciones,0.23573201356669482,0.2642679864333052,0.0,124,
ccomisiones_otras,0.23990280813645404,0.26009719186354596,0.0,164,
Visa_msaldopesos,0.25080958718554613,0.24919041281445387,0.04891477425834742,138556,0.03843746087392012
Visa_msaldototal,0.2523835177685261,0.24761648223147392,0.04891477425834742,138672,0.03843746087392012
cproductos,0.26313243349129484,0.23686756650870516,0.0,15,
mpayroll,0.26619642435716456,0.23380357564283544,0.0,77783,
mtransferencias_recibidas,0.2673253361953883,0.23267466380461171,0.0,74675,
Visa_mpagominimo,0.2710295570442893,0.22897044295571067,0.04891477425834742,5726,0.03843746087392012
cpayroll_trx,0.2712983975176296,0.22870160248237043,0.0,56,
chomebanking_transacciones,0.2750535044736484,0.2249464955263516,0.0,768,
mactivos_margen,0.718158009592158,0.21815800959215803,0.0,134661,
ctransferencias_emitidas,0.2858049100363268,0.2141950899636732,0.0,101,
mtransferencias_emitidas,0.2912408226944141,0.2087591773055859,0.0,50935,
ctransferencias_recibidas,0.29308863604804675,0.20691136395195325,0.0,189,
Visa_mpagospesos,0.6961280316613574,0.1961280316613574,0.1334484701501678,125003,0.027719137218907754
mextraccion_autoservicio,0.3072113669489781,0.1927886330510219,0.0,2440,
cextraccion_autoservicio,0.3087555738367151,0.1912444261632849,0.0,77,
mttarjeta_visa_debitos_automaticos,0.309262295741049,0.19073770425895098,0.0,85412,
mpagomiscuentas,0.3102248686405644,0.18977513135943558,0.0,71424,
Master_Finiciomora,0.6889382845188284,0.18893828451882844,0.9940471815977071,32,0.006918773719749618
cpagomiscuentas,0.31120682338354033,0.18879317661645967,0.0,71,
ctarjeta_visa_debitos_automaticos,0.3135971550843389,0.18640284491566111,0.0,46,
mcuenta_debitos_automaticos,0.3295472183156065,0.17045278168439348,0.0,54486,
Visa_mconsumototal,0.33177954642209545,0.16822045357790455,0.1334484701501678,115641,0.027719137218907754
Visa_mconsumospesos,0.33177954642209545,0.16822045357790455,0.1334484701501678,115641,0.027719137218907754
ccuenta_debitos_automaticos,0.3339155187163659,0.16608448128363412,0.0,36,
Visa_cconsumos,0.335759175150884,0.164240824849116,0.1334484701501678,132,0.027719137218907754
matm,0.3372407786730739,0.1627592213269261,0.0,2241,
ccomisiones_mantenimiento,0.6618328482638278,0.16183284826382782,0.0,12,
catm_trx,0.3386469545638854,0.16135304543611462,0.0,77,
mcuenta_corriente,0.3387068057181501,0.1612931942818499,0.0,76879,
cmobile_app_trx,0.3435726014102369,0.15642739858976312,0.0,2,
mcomisiones_mantenimiento,0.6562617879253796,0.1562617879253796,0.0,594,
mcaja_ahorro_dolares,0.34754754433342877,0.15245245566657123,0.0,36621,
thomebanking,0.36287590765925565,0.13712409234074435,0.0,2,
ctarjeta_master,0.364181451740956,0.135818548259044,0.0,3,
Visa_Finiciomora,0.6342955571394631,0.13429555713946306,0.9912606256583621,31,0.006888796900968139
mtarjeta_master_consumo,0.3675638149023391,0.13243618509766092,0.0,53882,
ctarjeta_master_transacciones,0.36833585607739916,0.13166414392260084,0.0,110,
Master_mpagospesos,0.6308705613295196,0.13087056132951957,0.5983623625094927,49600,0.009733580340419434
ctarjeta_visa,0.3706032853943826,0.1293967146056174,0.0,4,
Master_mconsumospesos,0.3785138610385457,0.12148613896145433,0.5983623625094927,35960,0.009733580340419434
Master_mconsumototal,0.3785138610385457,0.12148613896145433,0.5983623625094927,35960,0.009733580340419434
Master_cconsumos,0.383564583820703,0.11643541617929698,0.5983623625094927,82,0.009733580340419434
Master_msaldopesos,0.3858812250058472,0.1141187749941528,0.10302295387178168,60819,0.021281654975627156
Master_msaldototal,0.3876799562962103,0.11232004370378967,0.10302295387178168,61145,0.021281654975627156
Master_mpagominimo,0.3960582240003967,0.1039417759996033,0.10302295387178168,3452,0.021281654975627156
cliente_antiguedad,0.3964252018544951,0.10357479814550491,0.0,325,
Visa_fechaalta,0.41453746445547784,0.08546253554452216,0.04891477425834742,6588,0.03843746087392012
Master_fechaalta,0.41633555877411665,0.08366444122588335,0.10302295387178168,4728,0.021281654975627156
matm_other,0.4189755557294871,0.08102444427051292,0.0,850,
catm_trx_other,0.4191484599664761,0.0808515400335239,0.0,42,
Visa_mfinanciacion_limite,0.4202797956158851,0.07972020438411492,0.04891477425834742,189,0.03843746087392012
active_quarter,0.42084762955235416,0.07915237044764584,0.0,2,
mprestamos_personales,0.42338628555484664,0.07661371444515336,0.0,32504,
Visa_mlimitecompra,0.42399975395845213,0.07600024604154787,0.04891477425834742,143,0.03843746087392012
cprestamos_personales,0.4264952832325179,0.0735047167674821,0.0,137,
Master_mfinanciacion_limite,0.42741049957425,0.07258950042575002,0.10302295387178168,173,0.021281654975627156
mrentabilidad,0.5668620075285156,0.06686200752851557,0.0,147204,
Master_mlimitecompra,0.43391558323972396,0.06608441676027604,0.10302295387178168,134,0.021281654975627156
Visa_mconsumosdolares,0.4420808052291735,0.05791919477082652,0.1334484701501678,6563,0.027719137218907754
mttarjeta_master_debitos_automaticos,0.44243674524620286,0.057563254753797144,0.0,19060,
ctarjeta_master_debitos_automaticos,0.4429391624807363,0.05706083751926372,0.0,28,
internet,0.551300737200423,0.05130073720042305,0.0,5,
cplazo_fijo,0.4523429898086807,0.04765701019131929,0.0,43,
mplazo_fijo_dolares,0.45249217233699524,0.047507827663004765,0.0,6374,
Visa_Fvencimiento,0.4546231767091873,0.04537682329081272,0.04891477425834742,123,0.03843746087392012
Master_status,0.5430986534247944,0.04309865342479435,0.10302295387178168,4,0.021281654975627156
cdescubierto_preacordado,0.4626301570384153,0.03736984296158469,0.0,2,
cseguro_vida,0.46495738336287357,0.035042616637126434,0.0,4,
Visa_msaldodolares,0.46598999275414643,0.03401000724585357,0.04891477425834742,7829,0.03843746087392012
mrentabilidad_annual,0.468898814837769,0.031101185162230982,0.0,160994,
Master_Fvencimiento,0.47027634643567817,0.029723653564321828,0.10302295387178168,130,0.021281654975627156
cseguro_accidentes_personales,0.47115750757019503,0.028842492429804967,0.0,4,
ccaja_seguridad,0.4712909360899753,0.0287090639100247,0.0,7,
cseguro_vivienda,0.4725721114088613,0.027427888591138705,0.0,5,
Visa_status,0.5252435243296341,0.02524352432963406,0.04891477425834742,4,0.03843746087392012
ctarjeta_visa_descuentos,0.47900181259086677,0.02099818740913323,0.0,15,
Master_fultimo_cierre,0.48179287425706385,0.018207125742936148,0.1033536660052424,13,0.021272813462905903
ctarjeta_master_descuentos,0.4828656056910009,0.0171343943089991,0.0,16,
mcomisiones,0.5161248111664543,0.016124811166454256,0.0,117015,
cforex,0.48428767366466097,0.015712326335339033,0.0,12,
mforex_sell,0.4843501374015405,0.01564986259845952,0.0,348,
cforex_sell,0.4843568272374381,0.015643172762561885,0.0,10,
Master_mconsumosdolares,0.4847123577870102,0.015287642212989783,0.5983623625094927,1492,0.009733580340419434
mcomisiones_otras,0.5151725775964787,0.01517257759647872,0.0,117221,
Visa_mpagosdolares,0.48512963900883754,0.014870360991162457,0.1334484701501678,3916,0.027719137218907754
ccheques_depositados,0.48535403783848075,0.014645962161519255,0.0,42,
mcheques_depositados,0.48536339169644355,0.014636608303556453,0.0,4263,
ccajas_extracciones,0.48549835257037927,0.014501647429620734,0.0,10,
mtarjeta_visa_descuentos,0.4857998821786263,0.014200117821373703,0.017086793562137135,5059,0.0017921146953405018
ccajas_consultas,0.5134913955742201,0.013491395574220078,0.0,22,
Master_mpagado,0.48729000793931204,0.012709992060687958,0.10302295387178168,5884,0.021281654975627156
cinversion1,0.48750339466531206,0.012496605334687938,0.0,12,
minversion1_pesos,0.48791834317536975,0.01208165682463025,0.0,5412,
ccallcenter_transacciones,0.488510974376629,0.011489025623371008,0.0,47,
mcheques_emitidos,0.48866650020138547,0.011333499798614532,0.0,3255,
ccheques_emitidos,0.4886729382547098,0.01132706174529019,0.0,60,
tcallcenter,0.48867597047494665,0.011324029525053347,0.0,2,
cinversion2,0.48934344878394564,0.010656551216054355,0.0,40,
minversion2,0.48934449923167056,0.01065550076832944,0.0,4639,
Master_msaldodolares,0.4896667170313303,0.0103332829686697,0.10302295387178168,2787,0.021281654975627156
Visa_delinquency,0.5098815950339758,0.009881595033975787,0.04891477425834742,2,0.03843746087392012
Visa_fultimo_cierre,0.4910933401284646,0.008906659871535383,0.04916587050782685,14,0.038365719980069754
ctarjeta_debito,0.49141167747540376,0.008588322524596237,0.0,14,
ccajeros_propios_descuentos,0.49172643005800937,0.008273569941990633,0.0,12,
mcajeros_propios_descuentos,0.4918276304084149,0.008172369591585127,0.0,3079,
tmobile_app,0.49253270824835105,0.007467291751648952,0.0,2,
Master_mpagosdolares,0.4930018454704795,0.006998154529520517,0.5983623625094927,1266,0.009733580340419434
Master_delinquency,0.5069621361763531,0.0069621361763531064,0.10302295387178168,2,0.021281654975627156
ccaja_ahorro,0.5065073124833719,0.006507312483371885,0.0,7,
cseguro_auto,0.4935352279421477,0.006464772057852286,0.0,8,
Visa_mpagado,0.49404196230039665,0.005958037699603347,0.04891477425834742,11921,0.03843746087392012
ccajas_depositos,0.49550573250711466,0.00449426749288534,0.0,9,
mprestamos_hipotecarios,0.49555883426401287,0.004441165735987129,0.0,1686,
cprestamos_hipotecarios,0.49556019876311946,0.004439801236880536,0.0,21,
mtarjeta_master_descuentos,0.49557798908952944,0.004422010910470564,0.032446534871757186,1405,0.0022650056625141564
ccajas_transacciones,0.4956183903182724,0.004381609681727627,0.0,2,
cliente_edad,0.5043769043256815,0.0043769043256814966,0.0,80,
cpagodeservicios,0.4963851819620474,0.003614818037952605,0.0,21,
