variable,importancia,es_nueva
ctrx_quarter,0.32284127750898917,False
Master_status,0.16718256915072935,False
mcuentas_saldo,0.12928740172215197,False
tarjetas_faltantes,0.09241137204115671,True
mprestamos_personales,0.08624437330536379,False
cproductos__vs_hist,0.02485882364069328,True
mrentabilidad_annual,0.02348120336771146,False
Master_Fvencimiento,0.017554988852224545,False
mtarjeta_visa_consumo,0.017244606110358007,False
ctrx_quarter__vs_hist,0.013878048436837194,True
mpasivos_margen,0.013420618246000937,False
mrentabilidad,0.01168519663416206,False
mcuenta_corriente,0.010525077043035201,False
Visa_fechaalta,0.008632221137401083,False
cpayroll_trx,0.008083412562356049,False
Visa_msaldototal,0.007460437978810771,False
mrentabilidad__delta1,0.005453313259950147,True
mpayroll,0.004926736222545974,False
mcaja_ahorro,0.0035555706153847654,False
mcaja_ahorro__vs_hist,0.0034841801114077788,True
ctarjeta_visa_transacciones,0.0034127119166519077,False
Master_mfinanciacion_limite,0.0032192715065416408,False
mtarjeta_visa_consumo__vs_hist,0.0031148995266285953,True
cliente_edad,0.0021841207958932956,False
chomebanking_transacciones__delta1,0.0021533500321955965,True
mactivos_margen__lag1,0.0018567571159327694,True
ctrx_quarter__lag1,0.0012431898586850827,True
Visa_mpagospesos,0.001180377595749232,False
mtransferencias_recibidas,0.0008417317247779652,False
mcuentas_saldo__delta1,0.0005682478360682277,True
ccomisiones_otras__max_hist,0.0005538798536187934,True
ctrx_quarter__max_hist,0.0005019731822776289,True
mpasivos_margen__vs_hist,0.0004809839531791668,True
ctarjeta_visa_transacciones__vs_hist,0.0004649236315038899,True
mactivos_margen__vs_hist,0.00044392810934280885,True
mcomisiones_otras,0.00038377699397770186,False
ccaja_ahorro,0.0003681124002223688,False
mtarjeta_visa_consumo__delta1,0.00036762829811957037,True
Visa_mpagado,0.0003484565775999356,False
mcaja_ahorro__delta1,0.0003408338809691263,True
ccomisiones_otras__vs_hist,0.00032099068734757816,True
tmobile_app,0.00031611190517947765,False
mactivos_margen,0.0002873183427961278,False
mcomisiones_mantenimiento,0.0002834985828035429,False
mtransferencias_recibidas__max_hist,0.00021572797285009842,True
cseguro_vida,0.00021186166177452926,False
Visa_mconsumospesos,0.0001918306177618236,False
mrentabilidad__lag1,0.00018515950978065547,True
mpasivos_margen__lag1,0.00017265700572705655,True
mcuentas_saldo__vs_hist,0.00015365895875535921,True
mcomisiones,0.0001519590429752355,False
mrentabilidad__max_hist,0.00014695838190609492,True
cliente_antiguedad,0.00011529488333845037,False
ctarjeta_debito_transacciones__vs_hist,0.00011159572486916251,True
ctarjeta_visa_transacciones__delta1,0.00010945290410848236,True
catm_trx_other,0.00010388898827962389,False
ctransferencias_emitidas__vs_hist,9.939819305685509e-05,True
Visa_Fvencimiento,9.78033785016593e-05,False
mrentabilidad__vs_hist,8.904962643548597e-05,True
Master_fechaalta,8.804019237696348e-05,False
mcuentas_saldo__max_hist,8.602043549909403e-05,True
mtransferencias_recibidas__vs_hist,8.511652345234334e-05,True
Master_mlimitecompra,5.9414976685445347e-05,False
ccallcenter_transacciones,5.659133911497304e-05,False
ctarjeta_debito_transacciones__max_hist,2.0017427418361458e-05,True
