modelo,variante,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,hojas,ganancia_max,corte_prob,clientes_enviados,baja2_capturados,recall,auc
clase|m04,clase,gini,,2,1,,2712,1221577500.0,1.0,1139,1139,1.0,1.0
sin_id|m04,sin_id,gini,,2,1,,2720,1221577500.0,1.0,1139,1139,1.0,1.0
sin_id|m03,sin_id,gini,12.0,80,1,,203,565070000.0,0.028282828282828285,8492,726,0.6374012291483757,0.918844463643693
clase|m03,clase,gini,12.0,80,1,,202,563200000.0,0.02564102564102564,8600,727,0.6382791922739245,0.9172982803981229
clase|m06,clase,gini,12.0,1000,200,,124,548020000.0,0.025331724969843185,12832,819,0.7190517998244074,0.9356791067382404
sin_id|m06,sin_id,gini,12.0,1000,200,,123,548020000.0,0.025331724969843185,12832,819,0.7190517998244074,0.9357776755546546
clase|m10,clase,entropy,12.0,1000,200,,132,537790000.0,0.027261462205700124,10124,742,0.6514486391571555,0.939553090264242
sin_id|m10,sin_id,entropy,12.0,1000,200,,131,537570000.0,0.027261462205700124,10332,747,0.655838454784899,0.9390749957677516
clase|m09,clase,entropy,8.0,1000,200,,90,522747500.0,0.025440313111545987,12631,791,0.694468832309043,0.9311632590422229
sin_id|m09,sin_id,entropy,8.0,1000,200,,90,522747500.0,0.025440313111545987,12631,791,0.694468832309043,0.9311632590422229
clase|m05,clase,gini,8.0,1000,200,,79,521840000.0,0.025714285714285714,12344,783,0.6874451273046532,0.9203205971871122
sin_id|m05,sin_id,gini,8.0,1000,200,,79,521840000.0,0.025714285714285714,12344,783,0.6874451273046532,0.9203205971871122
sin_id|m07,sin_id,gini,,1000,500,,140,519887500.0,0.026,11215,753,0.6611062335381914,0.9337898602609427
clase|m07,clase,gini,,1000,500,,140,519887500.0,0.026,11215,753,0.6611062335381914,0.9338496437317199
sin_id|m11,sin_id,gini,8.0,1000,200,1e-05,24,482432500.0,0.038834951456310676,6657,605,0.5311676909569798,0.8847171389291028
clase|m11,clase,gini,8.0,1000,200,1e-05,24,482432500.0,0.038834951456310676,6657,605,0.5311676909569798,0.8847171389291028
clase|m02,clase,gini,8.0,80,1,,75,474017500.0,0.02761982128350934,9083,658,0.5776997366110623,0.9008787130585895
sin_id|m02,sin_id,gini,8.0,80,1,,75,474017500.0,0.02761982128350934,9083,658,0.5776997366110623,0.9008787130585895
clase|m08,clase,entropy,5.0,80,1,,30,461450000.0,0.02680829539706626,11060,696,0.611062335381914,0.9039785084893096
sin_id|m08,sin_id,entropy,5.0,80,1,,30,461450000.0,0.02680829539706626,11060,696,0.611062335381914,0.9039785084893096
sin_id|m00,sin_id,gini,5.0,80,1,,23,431447500.0,0.027450980392156862,12111,695,0.6101843722563652,0.8801585017323319
clase|m00,clase,gini,5.0,80,1,,23,431447500.0,0.027450980392156862,12111,695,0.6101843722563652,0.8801585017323319
clase|m01,clase,gini,3.0,80,1,,8,363962500.0,0.07291666666666667,4605,446,0.3915715539947322,0.8126947825858835
sin_id|m01,sin_id,gini,3.0,80,1,,8,363962500.0,0.07291666666666667,4605,446,0.3915715539947322,0.8126947825858835
